"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17447","visualLayoutTest(String) Визуальное сравнение demoqa.com (webkit)","","2025-11-08","passed","2025-11-08","","tests.VisualTest","tests.VisualTest","visualLayoutTest"
"","4188","updateUser()","","2025-11-08","failed","2025-11-08","","tests.ApiExampleTest","tests.ApiExampleTest","updateUser"
"","4192","deleteUser()","","2025-11-08","failed","2025-11-08","","tests.ApiExampleTest","tests.ApiExampleTest","deleteUser"
"","4190","createUser()","","2025-11-08","failed","2025-11-08","","tests.ApiExampleTest","tests.ApiExampleTest","createUser"
"","12741","UI — заполнение Practice Form и визуальное сравнение во всех браузерах Practice Form — визуальная проверка (webkit)","","2025-11-08","failed","2025-11-08","","tests.PracticeFormTest","tests.PracticeFormTest","testPracticeFormInAllBrowsers"
"","18538","UI — заполнение Practice Form и визуальное сравнение во всех браузерах Practice Form — визуальная проверка (chromium)","","2025-11-08","failed","2025-11-08","","tests.PracticeFormTest","tests.PracticeFormTest","testPracticeFormInAllBrowsers"
"","31926","UI — заполнение Practice Form и визуальное сравнение во всех браузерах Practice Form — визуальная проверка (firefox)","","2025-11-08","passed","2025-11-08","","tests.PracticeFormTest","tests.PracticeFormTest","testPracticeFormInAllBrowsers"
"","18666","visualLayoutTest(String) Визуальное сравнение demoqa.com (chromium)","","2025-11-08","passed","2025-11-08","","tests.VisualTest","tests.VisualTest","visualLayoutTest"
"","23212","visualLayoutTest(String) Визуальное сравнение demoqa.com (firefox)","","2025-11-08","passed","2025-11-08","","tests.VisualTest","tests.VisualTest","visualLayoutTest"
"","4189","getUser()","","2025-11-08","failed","2025-11-08","","tests.ApiExampleTest","tests.ApiExampleTest","getUser"
